Dataset,Model,Enhancement,Optimizer,LR,BatchSize,Time/Epoch (sec),Total Time (sec),#Epoch(total),#Epoch(saved),Accuracy(total),Train Accuracy,NumParam,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5,Accuracy_6,Accuracy_7,Accuracy_8,Accuracy_9,Accuracy_10
cifar,CNN,,SGD,0.001,50000,8.108888459205627,810.8888459205627,100,100,10.0,10.0075,62006,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,MLP,dropout,LBFGS,0.001,50000,7.911736738681793,791.1736738681793,100,100,16.93,17.062,476490,0.0,0.0,0.0,0.0,0.0,0.0,94.9,0.0,10.1,64.3
mnist,MLP,dropout,K-FAC,0.01,32,29.96302656332652,179.7781593799591,6,1,85.05,84.536,476490,93.9795918367347,95.94713656387665,81.4922480620155,83.06930693069307,85.13238289205702,81.61434977578476,92.58872651356994,75.0,78.02874743326488,82.55698711595639
fashion_mnist,CNN,,SGD,0.001,32,5.160394152005513,216.73655438423157,42,37,89.64,93.136,44426,84.8,97.4,80.1,90.7,89.0,96.9,68.8,96.8,97.2,94.7
cifar,MLP,,K-FAC,0.0001,32,253.0111232825688,1771.0778629779816,7,2,47.65,60.135,1647946,50.0,60.0,29.7,34.0,35.7,38.4,56.8,55.6,62.2,54.1
fashion_mnist,CNN,"dropout, no_pool",K-FAC,0.0001,32,17.300289032676,951.5158967971802,55,50,85.08,87.256,54100,84.0,95.9,75.4,87.2,82.8,90.5,50.8,94.0,95.4,94.8
mnist,MLP,,LBFGS,0.1,40000,7.998254343867302,255.94413900375366,32,27,97.26,98.584,476490,98.46938775510205,98.76651982378854,97.77131782945736,98.01980198019803,96.13034623217922,95.4035874439462,97.80793319415449,97.17898832684826,96.91991786447639,95.73835480673935
fashion_mnist,CNN,no_pool,K-FAC,0.001,32,22.36402291059494,178.91218328475952,8,3,78.88,80.252,54100,78.8,94.3,79.4,83.5,54.8,81.6,39.9,91.3,92.9,92.3
cifar,CNN,,LBFGS,0.0001,32,6.686175079345703,668.6175079345703,100,100,10.0,10.0075,62006,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
cifar,CNN,"dropout, no_pool",SGD,0.01,32,5.0540702607896595,45.486632347106934,9,4,22.42,22.48,63520,47.8,17.9,0.0,0.0,0.0,2.6,90.5,27.2,34.6,3.6
